location,lat,lon,dist_to_school_km,dist_to_hospital_km,dist_to_transit_km
Dodda Kempaiah Layout,13.0362652,77.6710325,0.6036721416501054,0.46594735101440526,0.3905023525494348
Dodda Nekkundi,12.9725581,77.692858,0.763600033601192,0.22048965846416632,0.1872595431663464
Doddaballapur,13.1112249,77.5798813,0.7255740290704908,0.9153657932218427,0.07298744158896713
Doddabanahalli,13.0156059,77.744183,1.5912658935319925,1.638062760740936,0.6618202734158326
Doddabele,12.8884898,77.4716806,1.2524866819434168,1.3550440126317185,1.4811444740684279
Doddabommasandra,13.0544347,77.559327,0.6132291727996358,1.4646199879092698,0.23481791691514356
Doddagubbi,13.0720681,77.6683289,2.703518825779099,2.555830254248299,0.6242436730288617
Doddakallasandra,12.8857355,77.5557448,0.90864791806872,0.6485990063096463,0.34598933783499003
Doddakammanahalli,12.8509089,77.5986785,0.811273112223564,1.1962772318160855,0.7228862883526304
Doddakannelli,12.9115184,77.6934108,0.5310204807011356,0.561380766169352,0.49150849116104645
Doddanekundi,12.9713194,77.6964768,0.35146342328955144,0.24483019520590737,0.24157488653303286
Doddathoguru,12.8505644,77.6466948,0.674474501860267,0.4616742612433213,0.8315226258095125
Dodsworth Layout,12.9707633,77.7440476,0.45263273379481644,0.6389441905595293,0.6414038455154861
Dollar Scheme Colony,12.9181537,77.6195361,0.29353100561489226,0.23936554739510807,0.20746555521142612
Dollars Colony,13.0413668,77.5678155,1.407205066869858,0.558230562236529,0.1899208359576927
Dollars Layout,12.9040098,77.5955558,0.5385101283645138,0.2771389916473641,0.23680061772052402
Dominic Layout,12.9150485,77.5508659,0.6187068460360995,0.4142017911877625,0.1270528315034068
Domlur,12.9624669,77.6381958,0.4041152176117952,0.26205866000506806,0.10865925702550021
Domlur Layout,12.9644251,77.6349677,0.5635282138848542,0.24325341587213647,0.3715866099605019
Dommasandra,12.8777098,77.7534769,,0.19347704829844248,0.19219573409203233
Doopanahalli,12.9674584,77.6396382,0.04790341177995514,0.2116589025373215,0.2084030133228225
Dooravani Nagar,12.9947771,77.676929,1.097700361699321,0.37854603132453096,0.5661372802290995
Duvasapalya,12.9230351,77.4959631,0.3928375289417149,0.5434111200613753,0.03777080098164572
Dwaraka Nagar,13.1208483,77.6186871,,0.11768789166322577,0.07609536873157871
Dwarka Nagar,13.0880852,77.4949031,1.6954607676256916,0.3206413385359538,0.6588141880651172
"ECC Road, Whitefield,",12.9811905,77.7433061,0.5458126398450429,0.967438655689951,0.5994315475265743
EPIP Zone,12.9781922,77.7246451,0.044532896727257486,0.25616664603420686,0.1543015947869913
Ejipura,12.945245,77.6274776,0.15280112895352982,0.5929921369418859,0.20847213315190555
Electronic City,12.8487599,77.648253,0.5497991746984375,0.49164670100072777,0.7279636356232001
"Electronic City Phase 1,",12.8496783,77.6649749,0.45954831296258886,0.27488433394488027,0.36837900166568976
Electronic City Phase II,12.8473999,77.6724452,0.4003537691158839,0.6695947877797833,0.07134709950462234
"Electronic city Phase 1,",12.8496783,77.6649749,0.45954831296258886,0.27488433394488027,0.36837900166568976
"Electronic city phase 1,",12.8496783,77.6649749,0.45954831296258886,0.27488433394488027,0.36837900166568976
Electronics City Phase 1,12.8401734,77.6595099,1.2771586723358812,0.29498218910859725,0.09764559736311537
Escorts Colony,13.1023262,77.5859726,0.3103146549169259,0.29602972491441704,0.7071473414816376
Ferrar Nagar,13.1164358,77.5642942,1.2716730723605147,1.2309168516510016,0.4355637446119848
Frazer Town,12.9975851,77.6136744,0.2440334342978169,0.10927811193168388,0.19729072978402276
Friends Colony,12.926326,77.6171749,0.2558143369746047,0.04982487316943682,0.032846943876050604
