location,lat,lon,dist_to_school_km,dist_to_hospital_km,dist_to_transit_km,location_price
Ramamurthy Nagar,13.0120218,77.6777817,0.7012545493049456,0.1005038444793955,0.1340673492662811,0.056666666666666664
Malleshwaram,13.0027353,77.5703253,0.2143519029451255,0.1013357314468058,0.0943480474278475,0.12455009698364033
Akshaya Nagar,13.0195427,77.6831272,0.6719239127411085,0.27244649864545,0.1725955228275265,0.05144467935165609
Shampura,13.0309565,77.6111581,0.627610324960466,0.3289322759884024,0.2560862573611048,0.051440677966101696
Kadugodi,12.9957428,77.7579489,1.1144729321489393,0.1704817262594944,0.0133501385811505,0.056842105263157895
LB Shastri Nagar,12.9660384,77.6708961,1.5732036233341649,0.1784131901123171,0.7385926001419972,0.0481203007518797
Vajarahalli,12.8774369,77.5447414,0.7712959770494165,0.1193243876760629,0.0456121371589613,0.05648211437685122
Kudlu Gate,12.8899174,77.6396808,0.1418802297277,0.4923916101664887,0.0504332177791086,0.05537459283387622
8th Phase JP Nagar,12.9104062,77.5951099,0.6719239127411085,0.27244649864545,0.1725955228275265,0.04471947194719472
Bommasandra Industrial Area,12.8137512,77.6953367,2.4011759281746454,0.7203121209554268,0.8298539530993914,0.028880366972477065
Chandra Layout,12.955333,77.5238903,0.7238562311077406,0.3231000193871265,0.1806097759441346,0.08426966292134831
Anandapura,13.0239276,77.6923621,0.6719239127411085,0.27244649864545,0.1725955228275265,0.046077271399357286
Kengeri Satellite Town,12.9229728,77.4842926,1.02066683482025,0.109134829201366,0.1300462809805596,0.041330212323260986
Basavanapura,13.0093485,77.7108379,0.6719239127411085,0.27244649864545,0.1725955228275265,0.03564459665144597
Kannamangala,13.0154819,77.7631515,1.429319726136114,1.0310777560740665,0.2849821535106997,0.057942708333333336
Devarachikkanahalli,12.8931539,77.6219724,0.2361360557477875,0.2418815970480645,0.4494674896338274,0.042114695340501794
Sanjeevini Nagar,12.9162546,77.5891812,0.1712180968464067,0.3897447647072238,0.0814818072165405,0.08407871198568873
Hulimavu,12.8773486,77.6028031,0.0268068954878658,0.7976716289728175,0.0359826059281747,0.05258964143426295
Mahalakshmi Layout,13.0113153,77.5446972,0.2374027662924826,0.4081989036260679,0.0950670862772034,0.11682539682539683
Yarandahalli,12.8087698,77.6673579,0.6719239127411085,1.5980515301103306,0.9905609773609868,0.035555555555555556
Hosa Road,12.8704543,77.6539943,0.0632104157827673,0.108222686543166,0.0350299728216249,0.04979919678714859
