location,lat,lon
Jagajyothi layout,,
Jai Bheema Nagar,12.9194294,77.6169759
Jakkasandra,12.9206827,77.6357104
Jakkasandra Extension,12.927699,77.6409796
Jakkur,13.0784743,77.6068938
Jakkur Plantation,13.0834599,77.5980019
JakkurYelahanka,,
Jakkuru Layout,13.0763895,77.6057269
Jaladarsini Layout,,
Jalahalli,13.0394104,77.5197351
Jalahalli East,13.0578317,77.5462216
Jalahalli West,13.045979,77.5222447
Janatha Colony,12.8694807,77.6960796
Javarandoddi,,
Jaya Mahal layout,,
Jaya Nagar East,,
Jayamahal,12.9959881,77.6014036
Jayamahal Extension,13.0011064,77.5969579
Jayanagar,12.9292731,77.5824229
"Jayanagar,",12.9292731,77.5824229
Jayanti Nagar,13.058277,77.6422554
Jaymahal Road,,
Jeevan bima nagar,,
Jeevanhalli,,
Jigani,12.7764978,77.6326204
Jinkethimmanahalli,,
Jnana Ganga Nagar,,
Jnanabharathi Layout,,
Jogupalya,12.9746882,77.628026
Jp nagar 8th Phase .,12.9104062,77.5951099
Judicial Layout,13.0837692,77.5860438
"Judicial Layout, Kanakapura Road,",12.8616691,77.5301618
Junnasandra,12.9064203,77.6835161
Jyothi Nagar,12.8641456,77.5817188
K G Colony,13.027497,77.5869989
K R C kothanur,,
KAMAKIYA,,
KEB Colony,12.9347657,77.5685736
KG Halli,13.0568608,77.5327052
KHB Colony Extension,,
KPC Layout,12.9041861,77.6778517
KR Garden,12.9549208,77.6565969
KR Layout,12.9549835,77.6532944
KR Puram,13.007516,77.695935
KSRTC Layout,12.9128386,77.5934931
KUDLU MAIN ROAD,12.8921814,77.6483362
Kachanayakanahalli,12.7990299,77.6830517
Kacharakanahalli,13.0222071,77.6319093
Kada Agrahara,13.0815052,77.69505
Kadabagere,12.9857708,77.4789451
Kadarenahalli,12.9119181,77.5646668
Kadubeesanahalli,12.938965,77.6964066
Kadugodi,12.9957428,77.7579489
Kadugondanahalli,13.0207029,77.6215464
Kaggadasapura,12.9812262,77.6745845
Kaggalipura,12.8089587,77.5097006
Kaikondrahalli,12.9138348,77.6775268
Kalasipalya,12.9584549,77.5808236
Kalena Agrahara,12.8658068,77.5911918
Kalhalli,12.8803569,77.7708542
Kalkere,13.0344453,77.6766779
Kalkere Channasandra,13.0377497,77.6881098
Kallumantapa,,
Kalyan nagar,13.0221416,77.6403368
Kamakshipalya,12.9858669,77.5331755
Kamakya Layout,12.9239667,77.5492664
Kamala Nagar,12.9450536,77.5586486
Kambipura,12.8822711,77.4606466
